Номер_закладу_в_АІКОМ,Повна_назва_закладу,Назва_ТГ,Тип_простору,Формат_роботи,longitude,latitude,hromada_id,region_name,risk_bucket,is_mountain
703,"Ліцей ""Всесвіт"" Матвіївської сільської ради",Матвіївська сільська територіальна громада,2026 Пілот старшої профільної,Очно,35.313519,47.907878,UA23060130000058533,Запорізька,Дуже високий,FALSE
1642,"Запорізький академічний ліцей ""Елінт"" Запорізької міської ради",Запорізька міська територіальна громада,2026 Пілот старшої профільної,Очно,35.070238,47.889851,UA23060070000082704,Запорізька,Дуже високий,FALSE
1586,Запорізький академічний ліцей №6 Запорізької міської ради,Запорізька міська територіальна громада,2026 Пілот старшої профільної,Очно,35.223284,47.776694,UA23060070000082704,Запорізька,Дуже високий,FALSE
11314,Ворохтянський ліцей Ворохтянської селищної ради Надвірнянського району Івано-Франківської області,Ворохтянська селищна територіальна громада,2026 Пілот старшої профільної,Очно,24.56623220430629,48.28894557771107,UA26120010000096774,Івано-Франківська,Помірний,TRUE
11032,Делятинський ліцей №1 Делятинської селищної ради,Делятинська селищна територіальна громада,2026 Пілот старшої профільної,Очно,24.625229,48.52712,UA26120030000018265,Івано-Франківська,Задовільний,TRUE
10824,Ліцей №2 Івано-Франківської міської ради,Івано-Франківська міська територіальна громада,2026 Пілот старшої профільної,Очно,24.694391,48.905678,UA26040190000081578,Івано-Франківська,Помірний,FALSE
10914,"Коломийський ліцей  ""Коломийська гімназія імені Михайла Грушевського""  Коломийськоі міськоі ради Івано-Франківськоі області",Коломийська міська територіальна громада,2026 Пілот старшої профільної,Очно,25.0361627,48.53147509999999,UA26080070000092582,Івано-Франківська,Задовільний,FALSE
15021,"Білоцерківський академічний ліцей ""Колегіум"" Білоцерківської міської ради Київської області",Білоцерківська міська територіальна громада,2026 Пілот старшої профільної,Очно,30.086232,49.811946,UA32020010000093088,Київська,Високий,FALSE
22258,"Комунальний заклад Київської обласної ради ""Фастівський обласний ліцей""",Фастівська міська територіальна громада,2026 Пілот старшої профільної,Очно,29.9443809,50.0822587,UA32140150000040954,Київська,Помірний,FALSE
21539,"Опорний заклад освіти ""Баришівський ліцей"" Баришівської селищної ради",Баришівська селищна територіальна громада,2026 Пілот старшої профільної,Очно,31.3221958,50.3645082,UA32060010000086043,Київська,Помірний,FALSE
22233,Шпитьківський академічний ліцей «Скіф» Дмитрівської сільської ради Бучанського району Київської області,Дмитрівська сільська територіальна громада,2026 Пілот старшої профільної,Очно,30.122569,50.414913,UA32080130000056481,Київська,Помірний,FALSE
5507,"Опорний заклад освіти ""Васильківський академічний ліцей ""Успіх"" Васильківської міської ради Київської області",Васильківська міська територіальна громада,2026 Пілот старшої профільної,Очно,30.30896,50.183054,UA32120030000030458,Київська,Високий,FALSE
21841,"Опорний заклад освіти ""Бишівський академічний ліцей"" Бишівської сільської ради Фастівського району Київської області",Бишівська сільська територіальна громада,2026 Пілот старшої профільної,Очно,29.881847,50.267102,UA32140010000049369,Київська,Помірний,FALSE
21806,Ліцей №1 Гостомельської селищної ради Бучанського району Київської області,Гостомельська селищна територіальна громада,2026 Пілот старшої профільної,Очно,30.26717,50.5676,UA32080110000056605,Київська,Помірний,FALSE
21697,"Опорний заклад освіти ""Калинівський академічний ліцей - освітній центр""",Калинівська селищна територіальна громада,2026 Пілот старшої профільної,Очно,30.23767,50.220457,UA32140090000085800,Київська,Помірний,FALSE
21685,Броварський ліцей №10 Броварської міської ради Броварського району Київської області,Броварська міська територіальна громада,2026 Пілот старшої профільної,Очно,30.798201,50.521893,UA32060050000030591,Київська,Високий,FALSE
21569,"Бориспільський ліцей ""Перспектива імені Володимира Мономаха",Бориспільська міська територіальна громада,2026 Пілот старшої профільної,Очно,30.961829,50.346294,UA32040010000010116,Київська,Високий,FALSE
21811,Коцюбинський ліцей №1 Коцюбинської селищної ради Бучанського району,Коцюбинська селищна територіальна громада,2026 Пілот старшої профільної,Очно,30.330331,50.49239,UA32080170000086616,Київська,Високий,FALSE
15013,"Білоцерківський академічний ліцей ""Вектор""-гімназія N18 Білоцерківської міської ради Київської області",Білоцерківська міська територіальна громада,2026 Пілот старшої профільної,Очно,30.120646,49.792846,UA32020010000093088,Київська,Високий,FALSE
21592,"Опорний заклад освіти ""Щасливський академічний ліцей"" Пристоличної сільської ради Бориспільського району Київської області",Пристолична сільська територіальна громада,2026 Пілот старшої профільної,Очно,30.7969553,50.3793095,UA32040130000049927,Київська,Помірний,FALSE
14059,Смолінський ліцей №2 Смолінської селищної ради Кіровоградської області,Смолінська селищна територіальна громада,2026 Пілот старшої профільної,Очно,31.316442489624027,48.6021548839966,UA35060230000086264,Кіровоградська,Помірний,FALSE
13958,"Комунальний заклад ""Ліцей ""Максимум"" Кропивницької міської ради""",Кропивницька міська територіальна громада,2026 Пілот старшої профільної,Очно,32.266182,48.508393,UA35040210000014072,Кіровоградська,Помірний,FALSE
13783,"Комунальний заклад ""Бобринецький ліцей №1"" Бобринецької міської ради Кіровоградської області",Бобринецька міська територіальна громада,2026 Пілот старшої профільної,Очно,32.16307631797082,48.05409599219202,UA35040030000074104,Кіровоградська,Помірний,FALSE
13910,"Комунальний заклад ""Ліцей ""Інтелект"" Долинської міської ради""",Долинська міська територіальна громада,2026 Пілот старшої профільної,Очно,32.7658685,48.1132559,UA35040110000055821,Кіровоградська,Високий,FALSE
14248,"Комунальний заклад ""Ліцей ""Перспектива"" Світловодської міської ради""",Світловодська міська територіальна громада,2026 Пілот старшої профільної,Очно,33.2047497,49.0536736,UA35080170000077673,Кіровоградська,Помірний,FALSE
12304,Бориславський ліцей Бориславської міської ради Львівської області,Бориславська міська територіальна громада,2026 Пілот старшої профільної,Очно,23.425484,49.287902,UA46020010000073886,Львівська,Задовільний,FALSE
12707,Заклад загальної середньої освіти І-ІІІ ступенів сщ. Новий Яричів,Новояричівська селищна територіальна громада,2026 Пілот старшої профільної,Очно,24.306974,49.901941,UA46060290000052876,Львівська,Задовільний,FALSE
12855,Середня загальноосвітня школа №99 м. Львова,Львівська міська територіальна громада,2026 Пілот старшої профільної,Очно,24.052068,49.869455,UA46060250000025047,Львівська,Високий,FALSE
12755,Ліцей № 52 Львівської міської ради,Львівська міська територіальна громада,2026 Пілот старшої профільної,Очно,24.016055,49.841183,UA46060250000025047,Львівська,Високий,FALSE
13215,"Опорний заклад освіти ""Сколівська академічна гімназія при Національному університеті ""Львівська політехніка"" імені Героя України Героя Небесної сотні Олега Ушневича"" Сколівської міської ради",Сколівська міська територіальна громада,2026 Пілот старшої профільної,Очно,23.51228,49.039727,UA46100190000081766,Львівська,Помірний,TRUE
12745,"Львівська лінгвістична гімназія
Львівської міської ради
Львівської області",Львівська міська територіальна громада,2026 Пілот старшої профільної,Очно,24.031461,49.832084,UA46060250000025047,Львівська,Високий,FALSE
13217,Славський заклад загальної середньої освіти І-ІІІ ступенів Славської селищної ради Стрийського району Львівської області,Славська селищна територіальна громада,2026 Пілот старшої профільної,Очно,23.449811,48.850337,UA46100210000027970,Львівська,Задовільний,TRUE
12305,Бродівська гімназія імені Івана Труша Бродівської міської ради Львівської області,Бродівська міська територіальна громада,2026 Пілот старшої профільної,Очно,25.150501,50.082727,UA46040010000033885,Львівська,Задовільний,FALSE
12761,"Загальноосвітня середня школа І-ІІІ ступенів ""Лідер"" з різними формами навчання",Львівська міська територіальна громада,2026 Пілот старшої профільної,Очно,24.0587396,49.8362681,UA46060250000025047,Львівська,Високий,FALSE
12805,СЗШ 84 імені Блаженної Йосафати Гордашевської,Львівська міська територіальна громада,2026 Пілот старшої профільної,Очно,24.059354,49.798021,UA46060250000025047,Львівська,Високий,FALSE
1281,Вознесенський ліцей №8 Вознесенської міської ради Миколаївської області,Вознесенська міська територіальна громада,2026 Пілот старшої профільної,Очно,31.3227851,47.5962147,UA48040070000056126,Миколаївська,Високий,FALSE
14979,"Комунальний заклад ""Опорний заклад ""Кодимський ліцей № 1"" Кодимської міської ради Подільського району Одеської області",Кодимська міська територіальна громада,2026 Пілот старшої профільної,Очно,29.125942,48.09987,UA51120090000035170,Одеська,Дуже високий,FALSE
22143,Одеський ліцей № 81 Одеської міської ради,Одеська міська територіальна громада,2026 Пілот старшої профільної,Очно,30.752377,46.424213,UA51100270000073549,Одеська,Високий,FALSE
16719,Одеський ліцей № 13 Одеської міської ради,Одеська міська територіальна громада,2026 Пілот старшої профільної,Очно,30.788858,46.577836,UA51100270000073549,Одеська,Високий,FALSE
15530,Ліцей №4 імені В'ячеслава Чорновола Південнівської міської ради Одеського району Одеської області,Южненська міська територіальна громада,2026 Пілот старшої профільної,Очно,31.100915,46.624348,UA51100410000059549,Одеська,Дуже високий,FALSE
16693,"Ліцей ""Лідер"" міста Білгорода-Дністровського Одеської області",Білгород-Дністровська міська територіальна громада,2026 Пілот старшої профільної,Очно,30.3450754,46.1884689,UA51040010000016896,Одеська,Високий,FALSE
15256,Великодальницькиий ліцей №1 Великодальницької сільської ради Одеського району Одеської області,Великодальницька сільська територіальна громада,2026 Пілот старшої профільної,Очно,30.562474,46.469877,UA51100050000066202,Одеська,Високий,FALSE
15480,"Молодіжненський ліцей Великодолинської селищної ради Одеського району Одеської
області",Великодолинська селищна територіальна громада,2026 Пілот старшої профільної,Очно,30.6136859,46.3093529,UA51100070000063635,Одеська,Високий,FALSE
20549,Академічний ліцей імені братів Шеметів Лубенської міської ради Лубенського району Полтавської області,Лубенська міська територіальна громада,2026 Пілот старшої профільної,Очно,32.99186,50.018835,UA53040030000088898,Полтавська,Помірний,FALSE
21513,Гадяцький профільний ліцей імені Т. Г. Шевченка Полтавської обласної ради,Гадяцька міська територіальна громада,2026 Пілот старшої профільної,Очно,33.987795,50.369672,UA53060090000098426,Полтавська,Високий,FALSE
20723,"Ліцей #17 ""Інтелект"" Полтавської міської ради",Полтавська міська територіальна громада,2026 Пілот старшої профільної,Очно,34.582345,49.56789,UA53080370000025447,Полтавська,Високий,FALSE
13729,Сарненський ліцей№5 Сарненської міської ради Сарненського району Рівненської області,Сарненська міська територіальна громада,2026 Пілот старшої профільної,Очно,26.619687,51.336163,UA56080170000055864,Рівненська,Високий,FALSE
13799,Опорний заклад загальної середньої освіти «Степанський ліцей» Степанської селищної ради Сарненського району Рівненської області,Кетрисанівська сільська територіальна громада,2026 Пілот старшої профільної,Очно,32.051054,48.02147,UA35040170000065192,Кіровоградська,Помірний,FALSE
16336,Здолбунівський ліцей №2 Здолбунівської міської ради Рівненської області,Здолбунівська міська територіальна громада,2026 Пілот старшої профільної,Очно,26.2510139,50.5243145,UA56060250000052338,Рівненська,Задовільний,FALSE
16562,Рівненський ліцей #13 Рівненської міської ради,Рівненська міська територіальна громада,2026 Пілот старшої профільної,Очно,26.271904,50.633869,UA56060470000086729,Рівненська,Помірний,FALSE
16599,Зорянський ліцей Зорянської сільської ради Рівненського району Рівненської області,Зорянська сільська територіальна громада,2026 Пілот старшої профільної,Очно,26.0269203,50.7252343,UA56060270000047362,Рівненська,Задовільний,FALSE
16285,Дубровицький ліцей №2 Дубровицької міської ради,Дубровицька міська територіальна громада,2026 Пілот старшої профільної,Очно,26.556383,51.567854,UA56080070000040721,Рівненська,Дуже високий,FALSE
14565,Недригайлівський ліцей Недригайлівської селищної ради,Недригайлівська селищна територіальна громада,2026 Пілот старшої профільної,Очно,33.87396097183228,50.83313356160109,UA59060090000012687,Сумська,Дуже високий,FALSE
14482,"Опорний заклад ""Кролевецький ліцей №3""",Кролевецька міська територіальна громада,2026 Пілот старшої профільної,Очно,33.3678323858485,51.55150338091497,UA59020090000085438,Сумська,Дуже високий,FALSE
18033,Збаразький ліцей № 1 Збаразької міської ради Тернопільської області,Збаразька міська територіальна громада,2026 Пілот старшої профільної,Очно,25.7772613,49.6689414,UA61040150000098181,Тернопільська,Задовільний,FALSE
18198,Опорний заклад Почаївська загальноосвітня школа І-ІІІ ступенів Почаївської міської ради Тернопільської області,Почаївська міська територіальна громада,2026 Пілот старшої профільної,Очно,25.511202,49.998972,UA61020130000037505,Тернопільська,Задовільний,FALSE
17914,Ліцей №1 м.Хоростків Хоростківської міської ради Тернопільської області,Хоростківська міська територіальна громада,2026 Пілот старшої профільної,Очно,25.921067,49.211176,UA61060410000092242,Тернопільська,Задовільний,FALSE
18058,Зборівський ліцей ім.Романа Завадовича Зборівської міської ради Тернопільського району Тернопільської області,Зборівська міська територіальна громада,2026 Пілот старшої профільної,Очно,25.141526,49.664911,UA61040170000086062,Тернопільська,Задовільний,FALSE
18436,"Тернопільський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-медичний ліцей №15 імені Лесі Українки"" Тернопільської міської ради Тернопільської області",Тернопільська міська територіальна громада,2026 Пілот старшої профільної,Очно,25.628019,49.544648,UA61040490000035010,Тернопільська,Високий,FALSE
18192,Кременецький академічний ліцей імені У.Самчука Кременецької міської ради Тернопільської області,Кременецька міська територіальна громада,2026 Пілот старшої профільної,Очно,25.719873905181885,50.09725587478775,UA61020070000092368,Тернопільська,Задовільний,FALSE
18440,Тернопільська загальноосвітня школа І-ІІІ ст. №19 Тернопільської міської ради Тернопільської області,Тернопільська міська територіальна громада,2026 Пілот старшої профільної,Очно,25.642122,49.559335,UA61040490000035010,Тернопільська,Високий,FALSE
18492,Комунальний заклад Мишковицький ліцей Великоберезовицької селищної ради Тернопільської області,Великоберезовицька селищна територіальна громада,2026 Пілот старшої профільної,Очно,25.60507535934449,49.45288709335876,UA61040070000079091,Тернопільська,Задовільний,FALSE
11952,Савинський ліцей Савинської селищної ради Ізюмського району Харківської області,Савинська селищна територіальна громада,2026 Пілот старшої профільної,Очно,37.0548185,49.3967749,UA63040150000053402,Харківська,Дуже високий,FALSE
11825,"Комунальний заклад ""Кегичівський ліцей"" Кегичівської селищної ради",Кегичівська селищна територіальна громада,2026 Пілот старшої профільної,Очно,35.761817693710334,49.2929451105985,UA63060030000041642,Харківська,Високий,FALSE
12020,Берестинський ліцей № 4 Берестинської міської ради Харківської області,Красноградська міська територіальна громада,2026 Пілот старшої профільної,Очно,35.45857,49.368603,UA63060050000033240,Харківська,Високий,FALSE
11651,"комунальний заклад ""Харківський ліцей № 138 Харківської міської ради""",Харківська міська територіальна громада,2026 Пілот старшої профільної,Очно,36.351406,49.992851,UA63120270000028556,Харківська,Дуже високий,FALSE
11649,"комунальний заклад ""Харківський ліцей №124 Харківської міської ради""",Харківська міська територіальна громада,2026 Пілот старшої профільної,Очно,36.347256,50.025421,UA63120270000028556,Харківська,Дуже високий,FALSE
12174,"Комунальний заклад "" Златопільський ліцей № 5 Златопільської міської ради Харківської області",Первомайська міська територіальна громада,2026 Пілот старшої профільної,Очно,36.21948544098208,49.3993404223331,UA63100090000052019,Харківська,Дуже високий,FALSE
11629,"Комунальний заклад ""Харківський ліцей № 3 Харківської міської ради""",Харківська міська територіальна громада,2026 Пілот старшої профільної,Очно,36.273953,49.98743,UA63120270000028556,Харківська,Дуже високий,FALSE
8894,Старокостянтинівська загальноосвітня школа І-ІІІ ст.  №1 Старокостянтинівської міської ради Хмельницької  області,Старокостянтинівська міська територіальна громада,2026 Пілот старшої профільної,Очно,27.21194386482239,49.75627637107373,UA68040390000011141,Хмельницька,Задовільний,FALSE
8889,Славутський ліцей Славутської міської ради,Славутська міська територіальна громада,2026 Пілот старшої профільної,Очно,26.866131,50.295607,UA68060270000042174,Хмельницька,Помірний,FALSE
4006,Буцький ліцей Буцької селищної ради Черкаської області,Буцька селищна територіальна громада,2026 Пілот старшої профільної,Очно,30.4050589,49.0945366,UA71060050000056084,Черкаська,Задовільний,FALSE
1920,Ладижинський ліцей Ладижинської сільської ради Уманського району Черкаської області,Ладижинська сільська територіальна громада,2026 Пілот старшої профільної,Очно,30.238083,48.542208,UA71060130000099511,Черкаська,Помірний,FALSE
3962,Білозірський ліцей - опорний заклад загальної середньої освіти Білозірської сільської ради Черкаського району Черкаської області,Білозірська сільська територіальна громада,2026 Пілот старшої профільної,Очно,31.896319,49.295758,UA71080050000028174,Черкаська,Помірний,FALSE
4508,"Уманський ліцей № 3 Уманської
міської ради Черкаської області",Уманська міська територіальна громада,2026 Пілот старшої профільної,Очно,30.216345191001896,48.73130990187817,UA71060210000032972,Черкаська,Високий,FALSE
11846,Навчально-виховний комплекс «Загальноосвітня школа І-ІІІ ступенів №3-колегіум» Смілянської міської ради Черкаської області,Ізюмська міська територіальна громада,2026 Пілот старшої профільної,Очно,37.14756826473482,49.29204945339275,UA63040090000021240,Харківська,Дуже високий,FALSE
3939,Золотоніська загальноосвітня школа І-ІІІ ступенів №3 Золотоніської міської ради Черкаської області,Золотоніська міська територіальна громада,2026 Пілот старшої профільної,Очно,32.051898,49.66837,UA71040090000047664,Черкаська,Помірний,FALSE
4477,Канівська загальноосвітня школа І-ІІІ ступенів №4 Канівської міської ради Черкаської області,Канівська міська територіальна громада,2026 Пілот старшої профільної,Очно,31.476581,49.749933,UA71080150000071745,Черкаська,Помірний,FALSE
6053,"Опорний заклад ""Мигівський ліцей"" Берегометської селищної ради Вижницького району Чернівецької області",Берегометська селищна територіальна громада,2026 Пілот старшої профільної,Очно,25.355281,48.178173,UA73020030000022011,Чернівецька,Задовільний,TRUE
5972,"Чернівецький ліцей №12 ""Ювілейний"" Чернівецької міської ради",Чернівецька міська територіальна громада,2026 Пілот старшої профільної,Очно,25.930958,48.289237,UA73060610000066784,Чернівецька,Задовільний,FALSE
5901,Красноїльський ліцей імені Алєксандру Ілскі Красноїльської селищної ради Чернівецького району Чернівецької області,Красноїльська селищна територіальна громада,2026 Пілот старшої профільної,Очно,25.587181,48.014805,UA73060330000039245,Чернівецька,Помірний,FALSE
5751,Великокучурівський заклад загальної середньої освіти І-ІІІ ступенів імені В.Бузенка Великокучурівської сільської ради Чернівецького району Чернівецької області,Великокучурівська сільська територіальна громада,2026 Пілот старшої профільної,Очно,25.907745,48.214322,UA73060050000034325,Чернівецька,Задовільний,FALSE
5668,Іспаський опорний ліцей ім. Миколи Марфієвича Вижницької міської ради Вижницького району Чернівецької області,Вижницька міська територіальна громада,2026 Пілот старшої профільної,Очно,25.274011,48.306038,UA73020090000031499,Чернівецька,Задовільний,FALSE
21395,Козелецький ліцей №3 Козелецької селищної ради,Козелецька селищна територіальна громада,2026 Пілот старшої профільної,Очно,31.132877,50.907266,UA74100190000086457,Чернігівська,Високий,FALSE
21194,"Комунальний заклад ""Ладанський ліцей"" Ладанської селищної ради Прилуцького району Чернігівської області",Ладанська селищна територіальна громада,2026 Пілот старшої профільної,Очно,32.585848,50.517884,UA74080050000033938,Чернігівська,Помірний,FALSE
21222,Ріпкинський ліцей Ріпкинської селищної ради,Ріпкинська селищна територіальна громада,2026 Пілот старшої профільної,Очно,31.079625,51.800352,UA74100330000029082,Чернігівська,Дуже високий,FALSE
