Номер закладу в АІКОМ,Повна назва закладу,Назва ТГ,Тип простору,Формат роботи,longitude,latitude,hromada id,region name,risk bucket
10914,"Коломийський ліцей  ""Коломийська гімназія імені Михайла Грушевського""  Коломийськоі міськоі ради Івано-Франківськоі області",Коломийська міська,2026 НУШ,Очно,25.0361627,48.53147509999999,UA26080070000092582,Івано-Франківська,Задовільний
15021,"Білоцерківський академічний ліцей ""Колегіум"" Білоцерківської міської ради Київської області",Білоцерківська міська,2026 НУШ,Очно,30.086232,49.811946,UA32020010000093088,Київська,Високий
22258,"Комунальний заклад Київської обласної ради ""Фастівський обласний ліцей""",Фастівська міська,2026 НУШ,Очно,29.9443809,50.0822587,UA32140150000040954,Київська,Помірний
21539,"Опорний заклад освіти ""Баришівський ліцей"" Баришівської селищної ради",Баришівська сільська,2026 НУШ,Очно,31.3221958,50.3645082,UA32060010000086043,Київська,Помірний
22233,Шпитьківський академічний ліцей «Скіф» Дмитрівської сільської ради Бучанського району Київської області,Дмитрівська сільська,2026 НУШ,Очно,30.122569,50.414913,UA32080130000056481,Київська,Помірний
5507,"Опорний заклад освіти ""Васильківський академічний ліцей ""Успіх"" Васильківської міської ради Київської області",Васильківська міська,2026 НУШ,Очно,30.30896,50.183054,UA32120030000030458,Київська,Високий
21841,"Опорний заклад освіти ""Бишівський академічний ліцей"" Бишівської сільської ради Фастівського району Київської області",Бишівська сільська,2026 НУШ,Очно,29.881847,50.267102,UA32140010000049369,Київська,Помірний
21806,Ліцей №1 Гостомельської селищної ради Бучанського району Київської області,Гостомельська селищна,2026 НУШ,Очно,30.26717,50.5676,UA32080110000056605,Київська,Помірний
21697,"Опорний заклад освіти ""Калинівський академічний ліцей - освітній центр""",Калинівська селищна,2026 НУШ,Очно,30.23767,50.220457,UA32140090000085800,Київська,Помірний
21685,Броварський ліцей №10 Броварської міської ради Броварського району Київської області,Броварська міська,2026 НУШ,Очно,30.798201,50.521893,UA32060050000030591,Київська,Високий
21569,"Бориспільський ліцей ""Перспектива імені Володимира Мономаха",Бориспільська міська,2026 НУШ,Очно,30.961829,50.346294,UA32040010000010116,Київська,Високий
21811,Коцюбинський ліцей №1 Коцюбинської селищної ради Бучанського району,Коцюбинська селищна,2026 НУШ,Очно,30.330331,50.49239,UA32080170000086616,Київська,Високий
15013,"Білоцерківський академічний ліцей ""Вектор""-гімназія N18 Білоцерківської міської ради Київської області",Білоцерківська міська,2026 НУШ,Очно,30.120646,49.792846,UA32020010000093088,Київська,Високий
21592,"Опорний заклад освіти ""Щасливський академічний ліцей"" Пристоличної сільської ради Бориспільського району Київської області",Пристолична сільська,2026 НУШ,Очно,30.7969553,50.3793095,UA32040130000049927,Київська,Помірний
14059,Смолінський ліцей №2 Смолінської селищної ради Кіровоградської області,Смолінська селищна,2026 НУШ,Очно,31.316442489624027,48.6021548839966,UA35060230000086264,Кіровоградська,Помірний
13958,"Комунальний заклад ""Ліцей ""Максимум"" Кропивницької міської ради""",Кропивницька міська,2026 НУШ,Очно,32.266182,48.508393,UA35040210000014072,Кіровоградська,Помірний
13783,"Комунальний заклад ""Бобринецький ліцей №1"" Бобринецької міської ради Кіровоградської області",Бобринецька міська,2026 НУШ,Очно,32.16307631797082,48.05409599219202,UA35040030000074104,Кіровоградська,Помірний
13910,"Комунальний заклад ""Ліцей ""Інтелект"" Долинської міської ради""",Долинська міська,2026 НУШ,Очно,32.7658685,48.1132559,UA35040110000055821,Кіровоградська,Високий
14248,"Комунальний заклад ""Ліцей ""Перспектива"" Світловодської міської ради""",Світловодська міська,2026 НУШ,Очно,33.2047497,49.0536736,UA35080170000077673,Кіровоградська,Помірний
12304,Бориславський ліцей Бориславської міської ради Львівської області,Бориславська міська,2026 НУШ,Очно,23.425484,49.287902,UA46020010000073886,Львівська,Задовільний
12707,Заклад загальної середньої освіти І-ІІІ ступенів сщ. Новий Яричів,Новояричівська селищна,2026 НУШ,Очно,24.306974,49.901941,UA46060290000052876,Львівська,Задовільний
12855,Середня загальноосвітня школа №99 м. Львова,Львівська міська,2026 НУШ,Очно,24.052068,49.869455,UA46060250000025047,Львівська,Високий
12755,Ліцей № 52 Львівської міської ради,Львівська міська,2026 НУШ,Очно,24.016055,49.841183,UA46060250000025047,Львівська,Високий
13215,"Опорний заклад освіти ""Сколівська академічна гімназія при Національному університеті ""Львівська політехніка"" імені Героя України Героя Небесної сотні Олега Ушневича"" Сколівської міської ради",Сколівська міська,2026 НУШ,Очно,23.51228,49.039727,UA46100190000081766,Львівська,Помірний
12745,"Львівська лінгвістична гімназія
Львівської міської ради
Львівської області",Львівська міська,2026 НУШ,Очно,24.031461,49.832084,UA46060250000025047,Львівська,Високий
13217,Славський заклад загальної середньої освіти І-ІІІ ступенів Славської селищної ради Стрийського району Львівської області,Славська селищна,2026 НУШ,Очно,23.449811,48.850337,UA46100210000027970,Львівська,Задовільний
12305,Бродівська гімназія імені Івана Труша Бродівської міської ради Львівської області,Бродівська міська,2026 НУШ,Очно,25.150501,50.082727,UA46040010000033885,Львівська,Задовільний
12761,"Загальноосвітня середня школа І-ІІІ ступенів ""Лідер"" з різними формами навчання",Львівська міська,2026 НУШ,Очно,24.0587396,49.8362681,UA46060250000025047,Львівська,Високий
12805,СЗШ 84 імені Блаженної Йосафати Гордашевської,Львівська міська,2026 НУШ,Очно,24.059354,49.798021,UA46060250000025047,Львівська,Високий
1281,Вознесенський ліцей №8 Вознесенської міської ради Миколаївської області,Вознесенська міська,2026 НУШ,Очно,31.3227851,47.5962147,UA48040070000056126,Миколаївська,Високий
14979,"Комунальний заклад ""Опорний заклад ""Кодимський ліцей № 1"" Кодимської міської ради Подільського району Одеської області",Кодимська міська,2026 НУШ,Очно,29.125942,48.09987,UA51120090000035170,Одеська,Дуже високий
22143,Одеський ліцей № 81 Одеської міської ради,Одеська міська,2026 НУШ,Очно,30.752377,46.424213,UA51100270000073549,Одеська,Високий
16719,Одеський ліцей № 13 Одеської міської ради,Одеська міська,2026 НУШ,Очно,30.788858,46.577836,UA51100270000073549,Одеська,Високий
15530,Ліцей №4 імені В'ячеслава Чорновола Південнівської міської ради Одеського району Одеської області,Південнівська міська,2026 НУШ,Очно,31.100915,46.624348,UA51100410000059549,Одеська,Дуже високий
16693,"Ліцей ""Лідер"" міста Білгорода-Дністровського Одеської області",Білгород-Дністровська міська,2026 НУШ,Очно,30.3450754,46.1884689,UA51040010000016896,Одеська,Високий
15256,Великодальницькиий ліцей №1 Великодальницької сільської ради Одеського району Одеської області,Великодальницька сільська,2026 НУШ,Очно,30.562474,46.469877,UA51100050000066202,Одеська,Високий
15480,"Молодіжненський ліцей Великодолинської селищної ради Одеського району Одеської
області",Великодолинська селищна,2026 НУШ,Очно,30.6136859,46.3093529,UA51100070000063635,Одеська,Високий
20549,Академічний ліцей імені братів Шеметів Лубенської міської ради Лубенського району Полтавської області,Лубенська міська,2026 НУШ,Очно,32.99186,50.018835,UA53040030000088898,Полтавська,Помірний
21513,Гадяцький профільний ліцей імені Т. Г. Шевченка Полтавської обласної ради,Гадяцька міська,2026 НУШ,Очно,33.987795,50.369672,UA53060090000098426,Полтавська,Високий
20723,"Ліцей #17 ""Інтелект"" Полтавської міської ради",Полтавська міська,2026 НУШ,Очно,34.582345,49.56789,UA53080370000025447,Полтавська,Високий
13729,Сарненський ліцей№5 Сарненської міської ради Сарненського району Рівненської області,Сарненська міська,2026 НУШ,Очно,26.619687,51.336163,UA56080170000055864,Рівненська,Високий
13799,Опорний заклад загальної середньої освіти «Степанський ліцей» Степанської селищної ради Сарненського району Рівненської області,Степанська селищна,2026 НУШ,Очно,32.051054,48.02147,UA35040170000065192,Кіровоградська,Помірний
16336,Здолбунівський ліцей №2 Здолбунівської міської ради Рівненської області,Здолбунівська міська,2026 НУШ,Очно,26.2510139,50.5243145,UA56060250000052338,Рівненська,Задовільний
16562,Рівненський ліцей #13 Рівненської міської ради,Рівненська міська,2026 НУШ,Очно,26.271904,50.633869,UA56060470000086729,Рівненська,Помірний
16599,Зорянський ліцей Зорянської сільської ради Рівненського району Рівненської області,Зорянська сільська,2026 НУШ,Очно,26.0269203,50.7252343,UA56060270000047362,Рівненська,Задовільний
16285,Дубровицький ліцей №2 Дубровицької міської ради,Дубровицька міська,2026 НУШ,Очно,26.556383,51.567854,UA56080070000040721,Рівненська,Дуже високий
14565,Недригайлівський ліцей Недригайлівської селищної ради,Недригайлівська селищна,2026 НУШ,Очно,33.87396097183228,50.83313356160109,UA59060090000012687,Сумська,Дуже високий
14482,"Опорний заклад ""Кролевецький ліцей №3""",Кролевецька міська,2026 НУШ,Очно,33.3678323858485,51.55150338091497,UA59020090000085438,Сумська,Дуже високий
18033,Збаразький ліцей № 1 Збаразької міської ради Тернопільської області,Збаразька міська,2026 НУШ,Очно,25.7772613,49.6689414,UA61040150000098181,Тернопільська,Задовільний
18198,Опорний заклад Почаївська загальноосвітня школа І-ІІІ ступенів Почаївської міської ради Тернопільської області,Почаївська міська,2026 НУШ,Очно,25.511202,49.998972,UA61020130000037505,Тернопільська,Задовільний
17914,Ліцей №1 м.Хоростків Хоростківської міської ради Тернопільської області,Хоростківська міська,2026 НУШ,Очно,25.921067,49.211176,UA61060410000092242,Тернопільська,Задовільний
18058,Зборівський ліцей ім.Романа Завадовича Зборівської міської ради Тернопільського району Тернопільської області,Зборівська міська,2026 НУШ,Очно,25.141526,49.664911,UA61040170000086062,Тернопільська,Задовільний
18436,"Тернопільський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів-медичний ліцей №15 імені Лесі Українки"" Тернопільської міської ради Тернопільської області",Тернопільська міська,2026 НУШ,Очно,25.628019,49.544648,UA61040490000035010,Тернопільська,Високий
18192,Кременецький академічний ліцей імені У.Самчука Кременецької міської ради Тернопільської області,Кременецька міська,2026 НУШ,Очно,25.719873905181885,50.09725587478775,UA61020070000092368,Тернопільська,Задовільний
18440,Тернопільська загальноосвітня школа І-ІІІ ст. №19 Тернопільської міської ради Тернопільської області,Тернопільська міська,2026 НУШ,Очно,25.642122,49.559335,UA61040490000035010,Тернопільська,Високий
18492,Комунальний заклад Мишковицький ліцей Великоберезовицької селищної ради Тернопільської області,Великоберезовицька селищна,2026 НУШ,Очно,25.60507535934449,49.45288709335876,UA61040070000079091,Тернопільська,Задовільний
11952,Савинський ліцей Савинської селищної ради Ізюмського району Харківської області,Савинська селищна,2026 НУШ,Очно,37.0548185,49.3967749,UA63040150000053402,Харківська,Дуже високий
11825,"Комунальний заклад ""Кегичівський ліцей"" Кегичівської селищної ради",Кегичівська міська,2026 НУШ,Очно,35.761817693710334,49.2929451105985,UA63060030000041642,Харківська,Високий
12020,Берестинський ліцей № 4 Берестинської міської ради Харківської області,Берестинська міська,2026 НУШ,Очно,35.45857,49.368603,UA63060050000033240,Харківська,Високий
11651,"комунальний заклад ""Харківський ліцей № 138 Харківської міської ради""",Харківська міська,2026 НУШ,Очно,36.351406,49.992851,UA63120270000028556,Харківська,Дуже високий
11649,"комунальний заклад ""Харківський ліцей №124 Харківської міської ради""",Харківська міська,2026 НУШ,Очно,36.347256,50.025421,UA63120270000028556,Харківська,Дуже високий
12174,"Комунальний заклад "" Златопільський ліцей № 5 Златопільської міської ради Харківської області",Златопільська міська,2026 НУШ,Очно,36.21948544098208,49.3993404223331,UA63100090000052019,Харківська,Дуже високий
11629,"Комунальний заклад ""Харківський ліцей № 3 Харківської міської ради""",Харківська міська,2026 НУШ,Очно,36.273953,49.98743,UA63120270000028556,Харківська,Дуже високий
8894,Старокостянтинівська загальноосвітня школа І-ІІІ ст.  №1 Старокостянтинівської міської ради Хмельницької  області,Старокостянтинівська міська,2026 НУШ,Очно,27.21194386482239,49.75627637107373,UA68040390000011141,Хмельницька,Задовільний
8889,Славутський ліцей Славутської міської ради,Славутська міська,2026 НУШ,Очно,26.866131,50.295607,UA68060270000042174,Хмельницька,Помірний
4006,Буцький ліцей Буцької селищної ради Черкаської області,Буцька селищна,2026 НУШ,Очно,30.4050589,49.0945366,UA71060050000056084,Черкаська,Задовільний
1920,Ладижинський ліцей Ладижинської сільської ради Уманського району Черкаської області,Ладижинська сільська,2026 НУШ,Очно,30.238083,48.542208,UA71060130000099511,Черкаська,Помірний
3962,Білозірський ліцей - опорний заклад загальної середньої освіти Білозірської сільської ради Черкаського району Черкаської області,Білозірська сільська,2026 НУШ,Очно,31.896319,49.295758,UA71080050000028174,Черкаська,Помірний
4508,"Уманський ліцей № 3 Уманської
міської ради Черкаської області",Уманська міська,2026 НУШ,Очно,30.216345191001896,48.73130990187817,UA71060210000032972,Черкаська,Високий
11846,Навчально-виховний комплекс «Загальноосвітня школа І-ІІІ ступенів №3-колегіум» Смілянської міської ради Черкаської області,Смілянська міська,2026 НУШ,Очно,37.14756826473482,49.29204945339275,UA63040090000021240,Харківська,Дуже високий
3939,Золотоніська загальноосвітня школа І-ІІІ ступенів №3 Золотоніської міської ради Черкаської області,Золотоніська міська,2026 НУШ,Очно,32.051898,49.66837,UA71040090000047664,Черкаська,Помірний
4477,Канівська загальноосвітня школа І-ІІІ ступенів №4 Канівської міської ради Черкаської області,Канівська міська,2026 НУШ,Очно,31.476581,49.749933,UA71080150000071745,Черкаська,Помірний
6053,"Опорний заклад ""Мигівський ліцей"" Берегометської селищної ради Вижницького району Чернівецької області",Берегометська селищна,2026 НУШ,Очно,25.355281,48.178173,UA73020030000022011,Чернівецька,Задовільний
5972,"Чернівецький ліцей №12 ""Ювілейний"" Чернівецької міської ради",Чернівецька міська,2026 НУШ,Очно,25.930958,48.289237,UA73060610000066784,Чернівецька,Задовільний
5901,Красноїльський ліцей імені Алєксандру Ілскі Красноїльської селищної ради Чернівецького району Чернівецької області,Красноїльська селищна,2026 НУШ,Очно,25.587181,48.014805,UA73060330000039245,Чернівецька,Помірний
5751,Великокучурівський заклад загальної середньої освіти І-ІІІ ступенів імені В.Бузенка Великокучурівської сільської ради Чернівецького району Чернівецької області,Великокучурівська сільська,2026 НУШ,Очно,25.907745,48.214322,UA73060050000034325,Чернівецька,Задовільний
5668,Іспаський опорний ліцей ім. Миколи Марфієвича Вижницької міської ради Вижницького району Чернівецької області,Вижницька міська,2026 НУШ,Очно,25.274011,48.306038,UA73020090000031499,Чернівецька,Задовільний
21395,Козелецький ліцей №3 Козелецької селищної ради,Козелецька селищна,2026 НУШ,Очно,31.132877,50.907266,UA74100190000086457,Чернігівська,Високий
21194,"Комунальний заклад ""Ладанський ліцей"" Ладанської селищної ради Прилуцького району Чернігівської області",Ладанська селищна,2026 НУШ,Очно,32.585848,50.517884,UA74080050000033938,Чернігівська,Помірний
21222,Ріпкинський ліцей Ріпкинської селищної ради,Ріпкинська селищна,2026 НУШ,Очно,31.079625,51.800352,UA74100330000029082,Чернігівська,Дуже високий
2458,Куликівський ліцей Куликівської селищної ради Чернігівського району Чернігівської області,Куликівська селищна,2026 НУШ,Очно,31.643515,51.374647,UA74100210000053397,Чернігівська,Дуже високий
21096,Ніжинський ліцей Ніжинської міської ради Чернігівської області при Ніжинському державному університеті імені Миколи Гоголя,Ніжинська міська,2026 НУШ,Очно,31.879422,51.046375,UA74040250000063494,Чернігівська,Високий
21393,"Деснянський ліцей Деснянської
селищної ради",Деснянська селищна,2026 НУШ,Очно,30.772131,50.926153,UA74100070000057810,Чернігівська,Дуже високий
21288,Чернігівський ліцей № 1 Чернігівської міської ради,Чернігівська міська,2026 НУШ,Очно,31.289444,51.496346,UA74100390000073425,Чернігівська,Високий
7913,"Опорний заклад загальної середньої освіти ""Академічний"" Краматорської міської ради Донецької області",Краматорська міська,2026 НУШ,Дистанційно,37.58910913570125,48.73533988915479,UA14120090000098500,Донецька,Дуже високий
10136,"
Ліцей № 2 Покровської міської ради Донецької області",Покровська міська,2026 НУШ,Дистанційно,37.18951054944492,48.260221398156986,UA14160210000011148,Донецька,Непереборний
846,"Комунальний заклад загальної середньої освіти ""Балабинський ліцей ""Престиж"" Кушугумської селищної ради Запорізького району Запорізької області",Кушугумська селищна,2026 НУШ,Дистанційно,35.220229,47.745118,UA23060110000049870,Запорізька,Дуже високий
938,"Бердянський ліцей ""Сузір'я"" Бердянської міської ради Запорізької області",Бердянська міська,2026 НУШ,Дистанційно,36.768476,46.768236,UA23060070000082704,Запорізька,Дуже високий
14721,"Комунальна установа Сумська спеціалізована школа І-ІІІ ступенів №9, м. Суми, Сумської області",Сумська міська,2026 НУШ,Дистанційно,34.808289,50.901063,UA59080270000073662,Сумська,Дуже високий
6072,"Комунальний заклад ""Буковинський ліцей успішної молоді""",Чернівецька міська територіальна громада,2025 передпілот,Очно,25.970421,48.2817,UA73060610000066784,Чернівецька,Задовільний
23140,Український гуманітірний ліцей КНУ імені Тараса Шевченка,Київська міська територіальна громада,2025 передпілот,Очно,30.52726,50.442009,UA80000000000093317,Київ,Високий
19280,Хустський багатопрофільний ліцей № 1 імені Івана Магули,Хустська міська територіальна громада,2025 передпілот,Очно,23.293495,48.175138,UA21120250000077532,Закарпатська,Задовільний
22209,Боярський академічний ліцей «Гармонія» Боярської міської ради,Боярська міська територіальна громада,2025 передпілот,Очно,30.279441,50.336762,UA32140030000074165,Київська,Високий
22087,Фастівський академічний ліцей № 9 Фастівської міської ради Київської області,Фастівська міська територіальна громада,2025 передпілот,Очно,29.927868,50.080345,UA32140150000040954,Київська,Помірний
17958,Заліщицька державна гімназія,Заліщицька міська територіальна громада,2025 передпілот,Очно,25.732144,48.6469318,UA61060170000051011,Тернопільська,Задовільний
8854,Комунальний заклад «Вінницький технічний ліцей»,Вінницька міська територіальна громада,2025 передпілот,Очно,28.476756,49.232388,UA05020030000031457,Вінницька,Помірний
3248,КЗО «Криворізький ліцей «Колія» ДОР,Криворізька міська територіальна громада,2025 передпілот,Очно,33.468604,48.01871,UA12060170000091033,Дніпропетровська,Високий
23337,Ліцей № 107 «Введенський» Подільського району м. Києва,Київська міська територіальна громада,2025 передпілот,Очно,30.512985,50.472902,UA80000000000093317,Київ,Високий
789,Комунальний заклад «Запорізька спеціалізована школа-інтернат ІІ-ІІІ ступенів «Козацький ліцей» Запорізької обласної ради,Запорізька міська територіальна громада,2025 передпілот,Очно,35.0567207,47.8784736,UA23060070000082704,Запорізька,Дуже високий
15027,Балтський ліцей № 1 імені Олеся Гончара Балтської міської ради Одеської області,Балтська міська територіальна громада,2025 передпілот,Очно,29.61546313538881,47.93801004907172,UA51120030000075494,Одеська,Високий
7343,Ліцей імені Олександра Цинкаловського Володимирської міської ради,Володимирська міська територіальна громада,2025 передпілот,Очно,24.325363,50.843415,UA07020010000096841,Волинська,Помірний
13552,Ліцей імені Тараса Городецького Шептицької міськоі ради,Шептицька міська територіальна громада,2025 передпілот,Очно,24.2480493,50.3984994,UA46120130000026331,Львівська,Задовільний
9248,Красилівський ліцей Красилівської міської ради Хмельницької області,Красилівська міська територіальна громада,2025 передпілот,Очно,26.9686993,49.6580202,UA68040210000089917,Хмельницька,Задовільний
15672,Ліцей № 12 міста Житомира ім. С. Ковальчука,Житомирська міська територіальна громада,2025 передпілот,Очно,28.668385,50.250989,UA18040190000029215,Житомирська,Помірний
4097,Смілянська ЗОШ І-ІІІ ступенів 11 Смілянської міської ради Черкаської області,Смілянська міська територіальна громада,2025 передпілот,Очно,31.87301121651329,49.19959741873684,UA71080390000078978,Черкаська,Помірний
10676,Бурштинський ліцей імені Ольги Басараб,Бурштинська міська територіальна громада,2025 передпілот,Очно,24.629173,49.251621,UA26040070000065724,Івано-Франківська,Задовільний
24355,Тернопільський академічний ліцей «Українська гімназія» ім. І. Франка Тернопільської міської ради,Тернопільська міська територіальна громада,2025 передпілот,Очно,25.5973922,49.5551572,UA61040490000035010,Тернопільська,Високий
13417,Стрийський ліцей імені Андрія Корчака,Стрийська міська територіальна громада,2025 передпілот,Очно,23.855860233416028,49.26012638024562,UA46100230000047305,Львівська,Задовільний
13429,Стрийський ліцей «Гімназія імені Андрея Шептицького»,Стрийська міська територіальна громада,2025 передпілот,Очно,23.8408209,49.2513452,UA46100230000047305,Львівська,Задовільний
16445,Вараський ліцей № 1 Вараської міської ради,Вараська міська територіальна громада,2025 передпілот,Очно,25.84843754768372,51.34281401114479,UA56020030000068439,Рівненська,Помірний
13977,КЗ «Ліцей «Європейська освіта» Кропивницької міської ради,Кропивницька міська територіальна громада,2025 передпілот,Очно,32.267737,48.540586,UA35040210000014072,Кіровоградська,Помірний
4409,Первомайський ліцей «Лідер» Первомайської міської ради Миколаївської області,Первомайська міська територіальна громада,2025 передпілот,Очно,30.856304,48.043372,UA48080130000028458,Миколаївська,Помірний
3055,Криворізький Покровський ліцей,Криворізька міська територіальна громада,2025 передпілот,Очно,33.479169,48.008849,UA12060170000091033,Дніпропетровська,Високий
22858,Ліцей «Голосіївський» № 241 м. Києва,Київська міська територіальна громада,2025 передпілот,Очно,30.551793,50.334629,UA80000000000093317,Київ,Високий
23331,Ліцей № 34 імені Віктора Максименка Подільського району м. Києва,Київська міська територіальна громада,2025 передпілот,Очно,30.433871,50.511216,UA80000000000093317,Київ,Високий
22509,"КЗ ""Чернігівський обласний науковий ліцей""",Чернігівська міська територіальна громада,2025 передпілот,Очно,31.286552,51.496222,UA74100390000073425,Чернігівська,Високий
11322,"Ліцей №1 міста Могилева-Подільського, Могилів-Подільської міської ради Вінницької області",Могилів-Подільська міська територіальна громада,2025 STEM,Очно,27.798007,48.449355,UA05080050000023603,Вінницька,Задовільний
